,Date,PETR4
1833,2018-05-18,25.649999618530273
1834,2018-05-21,25.049999237060547
1835,2018-05-22,24.709999084472656
1836,2018-05-23,23.270000457763672
1837,2018-05-24,20.079999923706055
1838,2018-05-25,19.799999237060547
1839,2018-05-28,16.90999984741211
1840,2018-05-29,19.299999237060547
1841,2018-05-30,18.979999542236328
1842,2018-06-01,16.15999984741211
1843,2018-06-04,17.530000686645508
1844,2018-06-05,16.59000015258789
1845,2018-06-06,16.329999923706055
1846,2018-06-07,15.760000228881836
1847,2018-06-08,15.25
1848,2018-06-11,15.40999984741211
1849,2018-06-12,15.460000038146973
1850,2018-06-13,15.170000076293945
1851,2018-06-14,15.100000381469727
1852,2018-06-15,14.970000267028809
1853,2018-06-18,14.5
1854,2018-06-19,15.420000076293945
1855,2018-06-20,16.209999084472656
1856,2018-06-21,15.100000381469727
1857,2018-06-22,15.109999656677246
1858,2018-06-25,15.699999809265137
1859,2018-06-26,16.040000915527344
1860,2018-06-27,16.549999237060547
1861,2018-06-28,16.600000381469727
1862,2018-06-29,17.190000534057617
1863,2018-07-02,17.469999313354492
1864,2018-07-03,17.5
1865,2018-07-04,17.610000610351562
1866,2018-07-05,17.860000610351562
1867,2018-07-06,17.940000534057617
1868,2018-07-10,17.75
1869,2018-07-11,17.40999984741211
1870,2018-07-12,17.950000762939453
1871,2018-07-13,18.110000610351562
1872,2018-07-16,17.8799991607666
1873,2018-07-17,18.290000915527344
1874,2018-07-18,18.049999237060547
1875,2018-07-19,18.399999618530273
1876,2018-07-20,19.290000915527344
1877,2018-07-23,19.260000228881836
1878,2018-07-24,19.65999984741211
1879,2018-07-25,19.959999084472656
1880,2018-07-26,19.40999984741211
1881,2018-07-27,19.770000457763672
1882,2018-07-30,19.889999389648438
1883,2018-07-31,19.719999313354492
1884,2018-08-01,20.010000228881836
1885,2018-08-02,20.40999984741211
1886,2018-08-03,21.110000610351562
1887,2018-08-06,21.040000915527344
1888,2018-08-07,20.709999084472656
1889,2018-08-08,20.139999389648438
1890,2018-08-09,20.34000015258789
1891,2018-08-10,19.59000015258789
1892,2018-08-13,20.040000915527344
1893,2018-08-14,19.979999542236328
1894,2018-08-15,19.049999237060547
1895,2018-08-16,18.950000762939453
1896,2018-08-17,18.459999084472656
1897,2018-08-20,18.360000610351562
1898,2018-08-21,17.719999313354492
1899,2018-08-22,18.350000381469727
