,Date,USD/BRL
2125,2019-02-25,3.7522
2126,2019-02-26,3.7489
2127,2019-02-27,3.7287
2128,2019-02-28,3.7514
2129,2019-03-01,3.7752
2130,2019-03-04,3.7755
2131,2019-03-05,3.7755
2132,2019-03-06,3.84
2133,2019-03-07,3.8704
2134,2019-03-08,3.8669
2135,2019-03-11,3.8403
2136,2019-03-12,3.8114
2137,2019-03-13,3.8147
2138,2019-03-14,3.8442
2139,2019-03-15,3.8144
2140,2019-03-18,3.7915
2141,2019-03-19,3.7892
2142,2019-03-20,3.7763
2143,2019-03-21,3.793
2144,2019-03-22,3.9071
2145,2019-03-25,3.8544
2146,2019-03-26,3.8773
2147,2019-03-27,3.9935
2148,2019-03-28,3.901
2149,2019-03-29,3.9247
2150,2019-04-01,3.8518
2151,2019-04-02,3.8537
2152,2019-04-03,3.87
2153,2019-04-04,3.859
2154,2019-04-05,3.8735
2155,2019-04-08,3.8495
2156,2019-04-09,3.851
2157,2019-04-10,3.8251
2158,2019-04-11,3.8582
2159,2019-04-12,3.8819
2160,2019-04-15,3.8723
2161,2019-04-16,3.904
2162,2019-04-17,3.9382
2163,2019-04-18,3.9273
2164,2019-04-19,3.9275
2165,2019-04-22,3.9365
2166,2019-04-23,3.9211
2167,2019-04-24,3.9927
2168,2019-04-25,3.9542
2169,2019-04-26,3.9292
2170,2019-04-29,3.9456
2171,2019-04-30,3.9215
2172,2019-05-01,3.9202
2173,2019-05-02,3.9661
2174,2019-05-03,3.9382
2175,2019-05-06,3.9695
2176,2019-05-07,3.971
2177,2019-05-08,3.9285
2178,2019-05-09,3.9466
2179,2019-05-10,3.9572
2180,2019-05-13,3.9939
2181,2019-05-14,3.9751
2182,2019-05-15,4.0017
