DATAS,y_REAL,y_ARIMA_1,y_ARIMA_2,y_VAR_1,y_VAR_2,y_LSTM_1,y_LSTM_2
2021-06-22,5.761282142857144,5.672299859566064,5.669597952244021,5.692878900693171,5.679250624702128,5.7570577,5.699844
2021-06-23,5.616076923076923,5.696752966101317,5.693536631692013,5.692923042117977,5.697035603901117,5.8278384,5.756449
2021-06-24,5.751310924369747,5.716384838204269,5.721776722018756,5.754345661062453,5.732633986946905,5.772132,5.7021236
2021-06-28,5.658977272727272,5.721323061461956,5.7213928785772,5.738195406444672,5.739108289661677,5.755332,5.6903796
2021-06-29,5.635311284046693,5.709993058147679,5.706126939971213,5.728671312276918,5.71337055932375,5.7153287,5.659027
2021-06-30,5.693507204610951,5.684963377051465,5.687556301521501,5.691276505988833,5.685650668808638,5.7393255,5.6736917
2021-07-01,5.8262857142857145,5.688339096683565,5.690920438472988,5.687065053739371,5.683301385017362,5.7027698,5.6445193
2021-07-05,5.743503289473685,5.695693160960291,5.697332466067658,5.705866873577418,5.704280971681103,5.7389727,5.6890035
2021-07-06,5.705331838565022,5.704467282222549,5.700863394625293,5.7073011146036245,5.709891419989164,5.795792,5.736452
2021-07-07,5.77129268292683,5.721361717421414,5.720446582091006,5.738608062656522,5.730996470869494,5.824164,5.750011
2021-07-08,5.902322580645161,5.7463492453708405,5.748387468261497,5.762554214465885,5.766093309060386,5.792792,5.72361
2021-07-12,5.871605577689243,5.76414147569717,5.763093800005597,5.7766367724435455,5.779770932406663,5.8293967,5.7645807
2021-07-13,5.895363247863249,5.783103987286831,5.779505160286274,5.8017372856976985,5.790656737335537,5.8988705,5.826679
2021-07-14,5.8481871921182265,5.81937056024208,5.821122640980549,5.832626479358796,5.834120067202817,5.952471,5.870087
2021-07-15,5.772192660550458,5.851081698161926,5.85501162675576,5.88254671715296,5.872125170540153,5.9322157,5.852908
2021-07-19,5.963790035587189,5.849612667216086,5.850150156238295,5.889537860795637,5.870603373847273,5.907193,5.8270397
2021-07-20,5.804121693121694,5.864597197261348,5.863881853711462,5.867625048012573,5.872987125830635,5.8976655,5.830497
2021-07-21,5.728551369863014,5.852614213824502,5.858018957759056,5.87292312345266,5.860731473313908,5.9011807,5.831922
